Signal1,Signal2,Signal3,R,H,O
398.3289353,-50.52797242,-510.8229423,9.21e-06,5.0,45.0
398.8838142,-50.47121446,-511.9676833,0.002295524,5.0,45.0
399.1443192,-50.54343647,-513.5761849,0.021856599,5.0,45.0
399.3034221,-50.96433785,-515.0961525,0.070455082,5.0,45.0
399.5514078,-51.46166791,-516.2463331,0.146094248,5.0,45.0
399.8684354,-51.86763123,-517.1154731,0.236694247,5.0,45.0
400.3230078,-52.10451438,-518.0439485,0.332092553,5.0,45.0
401.0177665,-51.92985303,-519.276133,0.429616749,5.0,45.0
401.8604836,-51.5001918,-520.5012308,0.429616749,5.0,45.0
402.6642553,-51.17297526,-521.5349175,0.52809763,5.0,45.0
403.3400028,-51.07406091,-522.4535352,0.627439797,5.0,45.0
404.0835601,-51.22754232,-523.1943728,0.72720474,5.0,45.0
405.0338371,-51.34173829,-523.829442,0.827084541,5.0,45.0
406.0220057,-51.17192046,-524.44542,0.926739872,5.0,45.0
406.9033263,-50.96416609,-525.0250717,1.026638865,5.0,45.0
407.682603,-51.02182674,-525.7510746,1.026638865,5.0,45.0
408.4561015,-51.32106021,-526.7952667,1.12668252,5.0,45.0
409.1386098,-51.59754893,-527.9540195,1.226820111,5.0,45.0
409.7145747,-51.65851321,-528.9587315,1.326871991,5.0,45.0
410.338387,-51.61790819,-529.7288435,1.426829815,5.0,45.0
411.0189233,-51.62781505,-530.3891784,1.526762962,5.0,45.0
411.7808611,-51.66969653,-531.1297463,1.626595974,5.0,45.0
412.6187862,-51.80461711,-531.8174861,1.72663343,5.0,45.0
413.4329878,-52.00624807,-532.4157297,1.72663343,5.0,45.0
414.0779701,-52.04871928,-533.1332852,1.826624393,5.0,45.0
414.6202413,-51.89126092,-533.910757,1.926569939,5.0,45.0
415.2686294,-51.76066865,-534.567338,2.026669025,5.0,45.0
415.9675508,-51.83550685,-535.0372134,2.126651287,5.0,45.0
416.6944216,-52.13934244,-535.4393153,2.22661376,5.0,45.0
417.515947,-52.55076032,-536.0129237,2.326618671,5.0,45.0
418.4598899,-52.83186223,-536.7853044,2.326618671,5.0,45.0
419.5255094,-53.00151017,-537.5744578,2.426546574,5.0,45.0
420.5052407,-53.28884749,-538.352721,2.526603699,5.0,45.0
421.2744211,-53.66495729,-539.2185142,2.626755238,5.0,45.0
421.9034905,-53.94180081,-540.278947,2.726649761,5.0,45.0
422.4486545,-54.14539576,-541.5587642,2.826621771,5.0,45.0
423.0594048,-54.30709194,-542.7736682,2.926615953,5.0,45.0
423.8509979,-54.26302384,-543.8363873,3.026546955,5.0,45.0
424.6767185,-54.04245814,-545.0261201,3.026546955,5.0,45.0
425.3626286,-53.84273488,-546.3291716,3.126522303,5.0,45.0
426.0006843,-53.68249066,-547.4630355,3.226593256,5.0,45.0
426.698279,-53.6148855,-548.3317155,3.326684713,5.0,45.0
427.4592084,-53.65657255,-549.1178999,3.426697969,5.0,45.0
428.3852147,-53.65696667,-549.9958193,3.526561022,5.0,45.0
429.3755904,-53.71339478,-550.8687157,3.6264956,5.0,45.0
430.1144771,-53.88807856,-551.6391848,3.726440907,5.0,45.0
430.5890283,-54.10746153,-552.4030631,3.726440907,5.0,45.0
430.9786215,-54.47054032,-553.1280647,3.826539993,5.0,45.0
431.3342793,-54.8412442,-553.7523797,3.926610708,5.0,45.0
431.7365957,-55.01041313,-554.4585409,4.026624203,5.0,45.0
432.140896,-55.05156811,-555.2589485,4.126650333,5.0,45.0
432.5280591,-54.93109281,-556.0225836,4.226705074,5.0,45.0
433.1266696,-54.5761419,-556.9201415,4.326822758,5.0,45.0
