Signal1,Signal2,Signal3,R,H,O
-724.0895482,141.0120099,157.6084013,1e-06,5.0,180.0
-724.9039831,141.6313496,157.5153422,2.21e-06,5.0,180.0
-725.6089567,142.1946312,157.4978299,2.21e-06,5.0,180.0
-726.3051953,142.645919,157.6823901,0.001031815,5.0,180.0
-727.0185161,142.9663292,157.9867122,0.015007126,5.0,180.0
-727.7278933,143.1364768,158.2132037,0.056705743,5.0,180.0
-728.6026958,142.9868319,158.5128742,0.126824781,5.0,180.0
-729.7142025,142.6542479,158.9931448,0.21513994,5.0,180.0
-730.9867688,142.5779364,159.4995078,0.309776127,5.0,180.0
-732.3175172,142.7823942,159.8800459,0.40690589,5.0,180.0
-733.5379536,143.0428395,160.0719684,0.40690589,5.0,180.0
-734.5726753,143.323438,160.3244516,0.505247712,5.0,180.0
-735.5361682,143.7431323,160.7399563,0.604608655,5.0,180.0
-736.5457353,144.3431855,161.233632,0.704154134,5.0,180.0
-737.6518404,144.9487455,161.7793969,0.803838253,5.0,180.0
-738.9170412,145.393118,162.1272086,0.903611958,5.0,180.0
-740.333174,145.6155438,162.1852681,1.003503561,5.0,180.0
-741.8205309,145.6499797,162.1380812,1.103585124,5.0,180.0
-743.2045431,145.7762107,162.0576462,1.103585124,5.0,180.0
-744.3535068,146.1762939,162.0634944,1.20364964,5.0,180.0
-745.3180833,146.6218897,162.258353,1.303742409,5.0,180.0
-746.2549242,146.843376,162.4584036,1.403736591,5.0,180.0
-747.2871388,146.8235024,162.5312375,1.503587008,5.0,180.0
-748.5065222,146.7116206,162.4843583,1.603515744,5.0,180.0
-749.9013278,146.5968404,162.3640845,1.703477979,5.0,180.0
-751.2685059,146.5984985,162.3111468,1.703477979,5.0,180.0
-752.5853687,146.7763372,162.4220974,1.803496957,5.0,180.0
-753.8137786,146.9939325,162.6317278,1.903473735,5.0,180.0
-754.9421371,147.2003155,162.8592749,2.003556728,5.0,180.0
-756.1038933,147.47576,163.1785225,2.103465319,5.0,180.0
-757.3261792,147.8769098,163.6724595,2.20354557,5.0,180.0
-758.6725944,148.3508215,164.1870123,2.30355382,5.0,180.0
-760.1070233,148.8009239,164.5446808,2.403414965,5.0,180.0
-761.5307342,149.118022,164.7048856,2.403414965,5.0,180.0
-762.8971953,149.3016967,164.8617302,2.503501177,5.0,180.0
-764.1233525,149.5213753,165.2853281,2.603537321,5.0,180.0
-765.1932942,149.8074815,165.8906952,2.70358181,5.0,180.0
-766.217759,150.1970994,166.432889,2.803503752,5.0,180.0
-767.3332618,150.8090102,166.6096275,2.90357542,5.0,180.0
-768.5223359,151.3947793,166.5655443,3.003422022,5.0,180.0
-769.6015862,151.7134833,166.7794543,3.003422022,5.0,180.0
-770.4603782,151.9199262,167.2214096,3.10337472,5.0,180.0
-771.3501524,152.137183,167.629779,3.203444004,5.0,180.0
-772.583844,152.3544238,167.9432106,3.30342412,5.0,180.0
-773.9639504,152.5709637,168.2944457,3.403651953,5.0,180.0
-775.2031359,152.7019786,168.7945316,3.503481388,5.0,180.0
-776.4478176,152.7660219,169.3657729,3.603413582,5.0,180.0
-777.8473165,152.9429145,169.861216,3.703412533,5.0,180.0
-779.2658971,153.3015926,170.2790026,3.703412533,5.0,180.0
-780.630663,153.7433994,170.6857915,3.80326128,5.0,180.0
-782.1253686,154.0354256,171.1470894,3.903433084,5.0,180.0
-783.7607885,154.1129576,171.7338559,4.003425121,5.0,180.0
-785.2561244,154.1849919,172.3004867,4.103433609,5.0,180.0
-786.5428798,154.365716,172.5719857,4.203651905,5.0,180.0
-787.6662839,154.607086,172.57458,4.303570271,5.0,180.0
-788.8051299,154.8416702,172.6638283,4.403571129,5.0,180.0
-790.1854025,154.8867273,173.0257382,4.403571129,5.0,180.0
-791.6599985,154.7313429,173.4154227,4.503427029,5.0,180.0
-793.0147344,154.6346365,173.5652878,4.60335207,5.0,180.0
-794.2701365,154.5942377,173.5400037,4.703434944,5.0,180.0
-795.6351294,154.4580867,173.4883899,4.80353117,5.0,180.0
-797.0697582,154.395456,173.4547125,4.903557777,5.0,180.0
-798.3142618,154.4709522,173.4850021,5.003554344,5.0,180.0
-799.4256249,154.4244053,173.8099406,5.003554344,5.0,180.0
-800.6305423,154.3296047,174.4861678,5.103509426,5.0,180.0
-801.849191,154.4489577,175.1728201,5.20339632,5.0,180.0
-802.9647338,154.8219766,175.6828228,5.303357124,5.0,180.0
-804.2469654,155.3100038,176.0913434,5.403460503,5.0,180.0
-805.7632978,155.8063098,176.463272,5.503428936,5.0,180.0
-807.1996733,156.3882986,176.8088374,5.603512287,5.0,180.0
-808.4731248,156.9586364,177.1864921,5.703520775,5.0,180.0
-809.7616051,157.2456226,177.6324161,5.703520775,5.0,180.0
-811.086503,157.366548,178.0368467,5.803471088,5.0,180.0
-812.4242932,157.6459982,178.3112559,5.903579235,5.0,180.0
-813.8875014,158.0069012,178.5576683,6.003516674,5.0,180.0
-815.4432192,158.3294308,178.8497767,6.103477001,5.0,180.0
-816.932703,158.6528183,179.1385187,6.203553677,5.0,180.0
-818.3456512,158.934858,179.476301,6.303498745,5.0,180.0
-819.7274964,159.1698762,179.8695028,6.303498745,5.0,180.0
-820.9344433,159.3576031,180.1263372,6.403604031,5.0,180.0
-821.8888825,159.5617114,180.3722477,6.503586292,5.0,180.0
-822.6352236,159.9187832,180.7824578,6.603454113,5.0,180.0
-823.4334956,160.3312412,181.0903677,6.703587055,5.0,180.0
-824.5232915,160.5415387,181.2227251,6.803561687,5.0,180.0
-825.613192,160.5034227,181.266775,6.90347147,5.0,180.0
-826.5923705,160.3747226,181.2244216,7.003470898,5.0,180.0
-827.5474279,160.4059476,181.2415916,7.003470898,5.0,180.0
-828.4350047,160.6676227,181.3173867,7.103600502,5.0,180.0
-829.3396843,160.9682771,181.3549196,7.203536034,5.0,180.0
-830.2329782,161.2527405,181.3807165,7.303507805,5.0,180.0
-831.1232347,161.4641689,181.3182201,7.403353691,5.0,180.0
-831.9699042,161.5179422,181.2347055,7.503210068,5.0,180.0
-832.419722,161.5273963,181.2716732,7.603497982,5.0,180.0
-832.2090602,161.4893177,181.1498455,7.603497982,5.0,180.0
-831.2442923,161.3243607,180.6502775,7.703573704,5.0,180.0
-829.6712891,161.2764643,179.9996973,7.803519726,5.0,180.0
-827.8544791,161.4561879,179.3840963,7.903575897,5.0,180.0
-825.881407,161.4037005,178.7892388,8.003516197,5.0,180.0
-823.6301274,160.8547019,178.1774715,8.103432655,5.0,180.0
-821.0471944,160.0804482,177.5603178,8.20347023,5.0,180.0
-818.1269943,159.2250405,176.8213952,8.30341053,5.0,180.0
-814.9111805,158.3301411,175.7810701,8.30341053,5.0,180.0
-811.439401,157.5148732,174.5093719,8.403427124,5.0,180.0
-807.8067702,156.7230115,173.0784189,8.503428459,5.0,180.0
-804.1378117,155.9210218,171.5696901,8.603524208,5.0,180.0
-800.3061842,154.9928255,170.1331689,8.703565598,5.0,180.0
-796.1027348,153.8706912,168.7478313,8.803388596,5.0,180.0
-791.5912704,152.7626696,167.3213803,8.903276443,5.0,180.0
-786.890914,151.806898,165.9101118,9.003410339,5.0,180.0
-782.1550141,151.0244158,164.597274,9.003410339,5.0,180.0
-777.627351,150.3416579,163.221362,9.103437424,5.0,180.0
-773.2491161,149.6441492,161.7163237,9.203523636,5.0,180.0
-768.6606228,148.8566309,160.3595353,9.303521156,5.0,180.0
-763.8754724,148.0780676,159.163181,9.403505325,5.0,180.0
-759.3685029,147.5203291,157.7481646,9.503520966,5.0,180.0
-755.2477229,147.2036202,156.1716451,9.603528023,5.0,180.0
-751.1378863,146.8566639,154.7800194,9.603528023,5.0,180.0
-746.8301718,146.2967646,153.5817984,9.703485489,5.0,180.0
-742.3247869,145.6252805,152.5285645,9.803441048,5.0,180.0
-737.6578375,144.8100561,151.4591631,9.90344429,5.0,180.0
-732.9126087,143.7636631,150.1089163,10.00340271,5.0,180.0
-728.169398,142.6401482,148.5158153,10.10356331,5.0,180.0
-723.4143051,141.5551887,146.7951798,10.20345592,5.0,180.0
-718.4156064,140.3940484,144.8457233,10.30339813,5.0,180.0
-713.0416024,139.1361281,142.6194398,10.30339813,5.0,180.0
